Post ID,Platform,Engagement Type,User ID,Engagement Count,Post Date
126,LinkedIn,Share,3346,158,2016-05-30
127,Instagram,Like,4478,475,2019-12-10
128,Instagram,Comment,2643,257,2015-07-14
129,Instagram,Comment,1381,987,2017-08-07
130,Instagram,Share,4968,700,2024-05-14
131,Instagram,Like,2382,93,2022-09-09
132,LinkedIn,Comment,4593,369,2021-05-21
133,Instagram,Comment,1407,233,2016-01-05
134,Instagram,Comment,3692,958,2018-07-18
135,LinkedIn,Share,36,125,2020-04-12
136,Twitter,Like,4936,339,2019-06-08
137,Instagram,Like,4745,477,2021-09-24
138,Twitter,Like,4439,105,2021-05-20
139,LinkedIn,Comment,2372,420,2019-03-02
140,Twitter,Comment,2794,983,2015-03-20
141,Facebook,Like,3474,564,2015-02-10
142,Facebook,Comment,626,843,2022-11-20
143,Instagram,Like,3820,67,2015-09-06
144,LinkedIn,Comment,794,343,2021-01-17
145,LinkedIn,Like,2870,212,2024-10-20
146,Instagram,Comment,1559,961,2016-07-13
147,LinkedIn,Share,1237,502,2017-04-25
148,LinkedIn,Like,3408,476,2022-03-10
149,LinkedIn,Like,2310,300,2016-12-09
150,Twitter,Like,2045,13,2015-06-25
151,LinkedIn,Share,664,877,2021-04-26
152,Twitter,Share,3670,718,2015-12-07
153,Instagram,Share,635,458,2024-12-24
154,Instagram,Share,3294,105,2017-06-09
155,Instagram,Comment,910,581,2019-06-29
156,Facebook,Like,726,104,2017-01-06
157,LinkedIn,Share,3883,745,2023-06-09
158,Instagram,Like,4278,540,2024-08-01
159,Instagram,Comment,2553,777,2019-04-13
160,Facebook,Like,3994,543,2019-11-08
161,Instagram,Comment,1551,443,2022-01-01
162,Instagram,Like,3025,149,2020-01-10
163,Instagram,Like,2134,74,2025-01-10
164,LinkedIn,Like,1505,406,2023-12-06
165,Twitter,Like,891,227,2021-08-19
166,Facebook,Like,2214,497,2019-10-02
167,Facebook,Share,4227,145,2020-10-26
168,LinkedIn,Comment,2548,449,2020-06-04
169,LinkedIn,Share,3601,21,2025-01-05
170,Twitter,Like,49,567,2017-11-25
171,Facebook,Share,3623,998,2023-02-23
172,Facebook,Share,3698,105,2017-08-13
173,LinkedIn,Comment,2815,934,2021-04-01
174,Instagram,Comment,3985,123,2020-09-16
175,LinkedIn,Share,3617,126,2018-10-18
176,Instagram,Share,3774,434,2023-08-29
177,LinkedIn,Like,4917,170,2015-04-20
178,LinkedIn,Comment,2947,701,2015-02-15
179,Instagram,Like,695,145,2018-09-11
180,LinkedIn,Share,1152,824,2022-12-10
181,Facebook,Comment,1816,39,2018-03-08
182,LinkedIn,Share,1352,988,2021-10-26
183,Twitter,Share,4475,758,2018-10-20
184,Twitter,Comment,4506,990,2020-06-12
185,Facebook,Comment,2871,554,2016-11-18
186,Twitter,Share,2134,746,2015-10-20
187,Twitter,Like,941,590,2019-06-23
188,LinkedIn,Like,1256,679,2025-01-13
189,LinkedIn,Share,3667,604,2024-04-29
190,LinkedIn,Like,3999,750,2022-12-31
191,Twitter,Like,4034,39,2021-08-19
192,LinkedIn,Like,981,402,2020-03-31
193,LinkedIn,Comment,1507,231,2023-10-20
194,Facebook,Comment,2666,680,2018-05-05
195,Instagram,Like,3755,207,2024-11-25
196,Facebook,Like,1462,468,2017-11-15
197,LinkedIn,Comment,2598,247,2024-11-28
198,LinkedIn,Share,3203,122,2019-04-15
199,LinkedIn,Comment,3299,982,2022-05-03
200,Instagram,Share,2346,208,2015-09-22
201,Facebook,Share,3743,896,2019-02-20
202,Instagram,Share,1124,90,2017-01-11
203,LinkedIn,Like,4057,575,2018-08-02
204,Instagram,Share,2869,765,2019-01-04
205,Twitter,Share,3239,985,2018-08-11
206,Twitter,Comment,870,218,2016-10-25
207,LinkedIn,Share,4191,321,2017-10-03
208,LinkedIn,Like,3488,53,2022-08-07
209,Facebook,Like,183,573,2024-06-08
210,Facebook,Like,184,275,2018-05-26
211,Instagram,Comment,4603,308,2020-06-09
212,LinkedIn,Comment,1859,829,2019-11-20
213,Twitter,Comment,3711,454,2024-07-16
214,Facebook,Like,820,486,2023-09-03
215,LinkedIn,Share,1599,897,2024-12-01
216,Twitter,Comment,41,715,2018-06-21
217,LinkedIn,Comment,1734,626,2017-02-13
218,Twitter,Comment,98,437,2018-12-04
219,LinkedIn,Share,2600,784,2017-11-19
220,LinkedIn,Comment,4012,852,2017-07-21
221,Facebook,Like,71,215,2019-02-10
222,Twitter,Comment,2064,194,2023-03-03
223,LinkedIn,Comment,4211,691,2023-04-24
224,Twitter,Like,1526,492,2019-04-09
225,Facebook,Share,4038,795,2020-10-26
226,Twitter,Like,2007,896,2015-08-11
227,Twitter,Like,1008,835,2019-10-25
228,Twitter,Comment,89,329,2017-08-20
229,Twitter,Comment,3126,722,2019-10-27
230,Instagram,Share,2091,485,2017-11-29
231,Instagram,Share,4116,477,2016-04-01
232,LinkedIn,Comment,4829,612,2021-06-01
233,Twitter,Like,213,193,2016-01-16
234,LinkedIn,Comment,3159,77,2021-12-05
235,Facebook,Comment,1897,201,2021-09-21
236,Facebook,Comment,1988,725,2022-10-16
237,Facebook,Share,4352,973,2021-10-16
238,Twitter,Share,1758,860,2020-02-16
239,Facebook,Like,1247,980,2020-07-21
240,Instagram,Like,2859,489,2017-11-01
241,LinkedIn,Like,3919,921,2022-05-06
242,Twitter,Like,435,485,2021-12-31
243,Facebook,Like,3050,232,2022-03-29
244,Twitter,Like,3073,840,2021-08-16
245,Instagram,Comment,4974,482,2023-03-12
246,LinkedIn,Like,1903,3,2017-12-07
247,Facebook,Like,2676,844,2017-11-06
248,Instagram,Comment,1628,527,2016-10-18
249,Facebook,Share,1162,714,2016-08-21
250,Instagram,Like,1946,622,2023-07-17
251,Twitter,Comment,3908,688,2022-01-29
252,Instagram,Like,2598,977,2020-12-28
253,Twitter,Share,1953,125,2015-10-26
254,LinkedIn,Comment,215,546,2023-02-11
255,Facebook,Share,3353,215,2022-11-07
256,Facebook,Like,2708,160,2021-08-27
257,Twitter,Like,1247,915,2024-01-17
258,Facebook,Share,3039,672,2018-12-04
259,LinkedIn,Comment,4547,64,2024-05-05
260,Twitter,Comment,1493,387,2017-12-27
261,Facebook,Share,4106,781,2023-03-26
262,Instagram,Like,2974,424,2023-12-29
263,Twitter,Comment,3068,974,2019-05-12
264,Facebook,Comment,1273,302,2016-04-25
265,Twitter,Share,2817,12,2020-03-11
266,Instagram,Like,227,535,2023-12-15
267,Instagram,Like,2391,930,2016-12-19
268,LinkedIn,Comment,3403,573,2017-10-14
269,LinkedIn,Comment,1675,347,2017-01-17
270,Instagram,Like,2328,464,2020-02-21
271,LinkedIn,Comment,3924,615,2015-12-18
272,Instagram,Share,253,385,2019-03-09
273,Facebook,Like,870,826,2019-12-23
274,Twitter,Comment,2766,305,2024-10-29
275,LinkedIn,Comment,1312,722,2017-10-13
276,LinkedIn,Like,3984,9,2016-07-04
277,Facebook,Comment,138,163,2020-04-20
278,LinkedIn,Share,3490,300,2020-11-02
279,Instagram,Comment,1291,616,2024-05-30
280,LinkedIn,Comment,164,210,2015-12-02
281,Facebook,Comment,2942,949,2017-07-01
282,Twitter,Like,4631,427,2021-10-09
283,Instagram,Share,540,923,2016-02-15
284,Instagram,Share,4433,622,2022-05-10
285,Twitter,Comment,4225,877,2018-07-23
286,Instagram,Comment,3758,775,2021-07-27
287,Instagram,Share,3636,663,2024-05-16
288,LinkedIn,Like,2352,965,2022-07-17
289,Instagram,Share,156,22,2023-08-27
290,Twitter,Share,317,678,2024-01-25
291,LinkedIn,Comment,748,493,2019-12-31
292,Facebook,Comment,1612,973,2024-12-23
293,LinkedIn,Comment,2581,814,2018-12-22
294,Facebook,Like,4953,41,2018-06-06
295,Facebook,Share,903,118,2018-08-02
296,LinkedIn,Comment,4889,458,2021-06-30
297,LinkedIn,Comment,4400,163,2017-08-16
298,Twitter,Like,4620,973,2017-05-20
299,LinkedIn,Share,174,838,2017-08-26
300,Instagram,Like,1695,949,2016-10-13
301,Instagram,Comment,1567,842,2019-09-04
302,LinkedIn,Share,1878,292,2023-12-23
303,LinkedIn,Comment,3822,736,2019-01-06
304,Instagram,Share,3658,844,2021-04-28
305,Instagram,Like,580,228,2016-10-12
306,LinkedIn,Share,1967,115,2017-02-01
307,Facebook,Share,2002,987,2018-03-28
308,LinkedIn,Comment,2783,895,2017-08-08
309,Twitter,Comment,2181,94,2019-01-06
310,LinkedIn,Like,618,36,2023-05-12
311,Facebook,Share,3631,554,2017-02-13
312,Facebook,Comment,4381,235,2017-10-11
313,Instagram,Share,3912,902,2024-08-25
314,Twitter,Like,2919,760,2022-11-26
315,Twitter,Comment,4528,424,2019-12-26
316,Facebook,Like,928,986,2023-07-10
317,Twitter,Comment,429,46,2019-03-03
318,LinkedIn,Like,4924,702,2020-01-16
319,LinkedIn,Share,4542,561,2024-06-27
320,Instagram,Comment,2044,96,2022-06-02
321,LinkedIn,Comment,3563,835,2020-07-08
322,LinkedIn,Like,4095,414,2024-03-13
323,Instagram,Like,3975,514,2016-12-08
324,Facebook,Like,1832,33,2022-03-13
325,Instagram,Share,1223,351,2015-10-14
326,LinkedIn,Comment,529,705,2016-12-26
327,LinkedIn,Comment,3958,624,2021-06-22
328,Twitter,Share,619,977,2025-02-06
329,LinkedIn,Share,2949,588,2021-01-31
330,Facebook,Like,4555,143,2018-01-08
331,Twitter,Like,3645,788,2021-05-19
332,LinkedIn,Like,520,11,2020-08-20
333,Instagram,Share,1647,479,2021-04-02
334,Instagram,Share,499,927,2021-02-08
335,Twitter,Share,1352,133,2017-08-17
336,LinkedIn,Like,3750,21,2022-03-27
337,LinkedIn,Like,841,361,2020-07-16
338,Twitter,Like,380,610,2019-10-15
339,Instagram,Like,4531,869,2021-04-23
340,Facebook,Comment,1767,628,2020-01-17
341,Facebook,Like,3259,22,2019-07-19
342,Instagram,Share,4413,552,2016-11-30
343,Twitter,Like,1953,715,2023-06-10
344,LinkedIn,Like,690,714,2021-09-23
345,Instagram,Like,1810,555,2023-12-11
346,LinkedIn,Comment,4400,767,2021-09-18
347,Facebook,Comment,2469,81,2019-06-22
348,LinkedIn,Comment,230,729,2018-01-20
349,LinkedIn,Comment,2221,835,2015-08-31
350,Instagram,Like,1013,561,2024-08-23
351,Instagram,Comment,4296,844,2021-01-18
352,Instagram,Like,2797,673,2017-08-08
353,Facebook,Like,3393,321,2023-12-22
354,Instagram,Share,3936,209,2023-12-05
355,Instagram,Comment,4188,74,2015-05-11
356,Facebook,Like,2361,737,2020-03-28
357,Instagram,Comment,4310,44,2018-01-28
358,Instagram,Comment,4122,906,2021-11-30
359,LinkedIn,Comment,4066,412,2015-11-02
360,Facebook,Share,1866,915,2015-10-23
361,Facebook,Comment,1035,397,2021-04-08
362,Twitter,Share,4599,454,2018-08-02
363,LinkedIn,Like,3774,164,2015-04-14
364,Facebook,Comment,1242,149,2015-12-14
365,Instagram,Comment,1103,30,2022-08-16
366,Instagram,Comment,3331,294,2019-03-12
367,Twitter,Like,4223,355,2024-09-22
368,Twitter,Comment,2707,47,2022-06-26
369,Instagram,Like,902,935,2018-11-14
370,Twitter,Share,4198,455,2024-11-05
371,LinkedIn,Comment,3343,603,2015-07-20
372,Twitter,Share,286,721,2022-11-14
373,LinkedIn,Like,780,355,2016-12-11
374,Twitter,Like,3090,693,2023-08-03
375,LinkedIn,Comment,3069,598,2023-07-19
376,Facebook,Share,3891,559,2017-08-25
377,Instagram,Like,3522,100,2022-07-25
378,LinkedIn,Comment,4283,332,2019-11-20
379,Twitter,Comment,1697,221,2020-03-28
380,Twitter,Like,4902,350,2016-01-19
381,Twitter,Share,3348,839,2022-11-15
382,Twitter,Comment,2352,662,2017-07-14
383,Instagram,Comment,4603,981,2016-03-30
384,LinkedIn,Like,3411,713,2024-09-04
385,Instagram,Comment,421,22,2020-12-18
386,Facebook,Comment,3098,362,2018-06-16
387,LinkedIn,Share,664,508,2019-12-14
388,Facebook,Comment,4132,648,2018-01-28
389,Twitter,Comment,592,938,2020-10-14
390,LinkedIn,Comment,2221,16,2021-08-03
391,LinkedIn,Like,2990,604,2016-02-22
392,LinkedIn,Share,201,290,2019-03-14
393,Twitter,Comment,4306,924,2022-01-02
394,LinkedIn,Like,1278,179,2023-07-07
395,Facebook,Like,1869,826,2019-12-14
396,Facebook,Like,4495,75,2018-10-24
397,Instagram,Like,4914,495,2019-11-21
398,Twitter,Share,4540,524,2024-02-06
399,Facebook,Like,1224,541,2023-07-07
400,Instagram,Like,3733,435,2017-11-16
401,LinkedIn,Share,1575,905,2020-05-11
402,Instagram,Comment,1170,989,2018-07-23
403,LinkedIn,Comment,3950,76,2016-08-05
404,Instagram,Like,4855,911,2019-12-18
405,LinkedIn,Share,2308,179,2019-03-26
406,LinkedIn,Share,4699,158,2022-03-30
407,Twitter,Like,1207,749,2019-08-11
408,Facebook,Comment,3831,402,2018-10-04
409,Facebook,Like,500,680,2023-12-29
410,Twitter,Share,3505,488,2024-03-22
411,Twitter,Like,4272,597,2018-05-21
412,LinkedIn,Like,2029,151,2024-01-03
413,Facebook,Share,1936,796,2016-05-17
414,Instagram,Comment,1864,416,2023-03-11
415,Instagram,Comment,707,588,2018-12-19
416,Facebook,Comment,3624,957,2023-01-19
417,Twitter,Like,180,927,2017-12-23
418,Twitter,Share,1269,63,2018-02-12
419,Twitter,Like,1883,258,2015-10-10
420,Instagram,Share,2413,833,2025-01-12
421,Facebook,Like,2518,865,2015-12-15
422,Instagram,Like,489,864,2015-07-20
423,Twitter,Comment,4618,311,2022-08-25
424,Facebook,Like,4403,840,2016-09-04
425,Instagram,Comment,1149,997,2022-02-22
426,LinkedIn,Like,4845,412,2016-10-01
427,Facebook,Share,2314,638,2019-02-12
428,LinkedIn,Like,3538,203,2019-02-28
429,Facebook,Like,513,404,2022-10-30
430,Twitter,Share,4652,586,2023-04-25
431,Facebook,Comment,3429,528,2017-02-13
432,Facebook,Share,3421,385,2016-08-11
433,Facebook,Comment,4518,577,2023-06-08
434,LinkedIn,Comment,2221,162,2016-09-07
435,Twitter,Like,2523,884,2020-08-30
436,Facebook,Share,192,893,2016-01-08
437,LinkedIn,Like,1942,901,2020-10-06
438,Instagram,Like,1474,548,2016-11-25
439,Facebook,Like,1480,21,2021-04-30
440,LinkedIn,Share,1989,188,2021-10-29
441,Facebook,Like,2726,131,2018-12-12
442,LinkedIn,Share,4534,230,2024-08-29
443,Instagram,Comment,1611,347,2020-04-20
444,Twitter,Comment,665,513,2022-01-27
445,LinkedIn,Share,4470,611,2024-05-31
446,Twitter,Share,706,681,2024-08-17
447,LinkedIn,Like,3618,554,2020-10-22
448,Twitter,Comment,2604,68,2021-09-25
449,LinkedIn,Comment,3801,481,2023-06-28
450,LinkedIn,Comment,1677,60,2019-06-17
451,Facebook,Share,1516,380,2024-11-30
452,Facebook,Like,2859,235,2023-04-26
453,Twitter,Comment,1560,397,2019-03-12
454,Instagram,Share,1853,448,2022-10-10
455,Facebook,Comment,2623,462,2023-05-07
456,Twitter,Comment,2760,916,2020-06-13
457,Twitter,Share,3609,712,2018-12-13
458,Twitter,Share,4021,80,2017-11-22
459,LinkedIn,Comment,2927,756,2024-08-02
460,Twitter,Comment,4175,994,2016-03-19
461,LinkedIn,Comment,2790,948,2020-01-03
462,Twitter,Like,2543,714,2016-12-27
463,Twitter,Share,1732,141,2018-02-10
464,Facebook,Share,3696,644,2021-02-20
465,Facebook,Share,4926,236,2016-05-02
466,Instagram,Comment,4479,240,2023-03-09
467,Instagram,Share,4839,663,2022-10-22
468,Instagram,Comment,269,39,2016-09-03
469,Instagram,Like,23,967,2019-06-12
470,LinkedIn,Share,2166,370,2021-09-12
471,LinkedIn,Comment,3444,200,2015-11-27
472,Facebook,Comment,2878,511,2018-04-11
473,Twitter,Share,3848,981,2021-06-09
474,Twitter,Like,4214,586,2022-10-07
475,Twitter,Comment,1602,944,2019-09-30
476,Twitter,Share,1706,447,2018-05-16
477,Instagram,Comment,1835,739,2023-12-21
478,LinkedIn,Share,473,687,2015-03-28
479,Twitter,Comment,4055,442,2023-01-02
480,Facebook,Share,1775,825,2017-11-13
481,LinkedIn,Comment,3290,355,2024-12-09
482,Facebook,Comment,298,681,2016-11-16
483,Twitter,Like,3065,158,2024-04-22
484,LinkedIn,Comment,1427,768,2018-03-26
485,Facebook,Like,1690,425,2021-04-19
486,LinkedIn,Like,394,36,2017-12-10
487,LinkedIn,Comment,1511,335,2016-06-01
488,LinkedIn,Comment,1644,532,2017-03-18
489,Twitter,Comment,4034,462,2021-03-01
490,Instagram,Comment,3677,505,2022-06-02
491,Facebook,Share,4888,546,2021-04-22
492,LinkedIn,Comment,4610,753,2018-02-12
493,LinkedIn,Share,4901,917,2016-02-25
494,Twitter,Like,1757,272,2020-06-23
495,Twitter,Share,3685,84,2021-10-29
496,LinkedIn,Comment,454,101,2021-06-02
497,Instagram,Comment,4991,470,2018-02-12
498,Facebook,Comment,3343,288,2023-12-30
499,Facebook,Comment,2365,941,2024-11-18
500,Facebook,Comment,1122,478,2015-10-21
501,LinkedIn,Comment,2431,778,2021-10-24
502,Facebook,Comment,408,842,2019-12-03
503,Instagram,Comment,396,161,2023-05-24
504,LinkedIn,Like,1555,187,2017-05-17
505,Instagram,Like,185,494,2021-03-20
506,LinkedIn,Comment,4973,745,2024-04-14
507,Instagram,Share,1958,751,2018-03-11
508,Instagram,Share,847,110,2018-11-04
509,Facebook,Share,2651,625,2024-02-07
510,LinkedIn,Like,2992,113,2022-10-21
511,LinkedIn,Share,4145,479,2021-03-15
512,LinkedIn,Share,193,959,2019-06-22
513,Twitter,Share,142,308,2024-11-04
514,LinkedIn,Like,2498,578,2022-01-26
515,Instagram,Comment,195,764,2017-08-14
516,Facebook,Like,785,972,2016-09-16
517,LinkedIn,Comment,2669,779,2017-03-19
518,Facebook,Like,706,938,2017-12-20
519,Facebook,Like,2794,433,2018-10-04
520,LinkedIn,Share,707,594,2020-07-13
521,Twitter,Like,4234,644,2025-01-19
522,Twitter,Share,1554,463,2020-06-30
523,LinkedIn,Comment,345,292,2016-11-01
524,Instagram,Share,4743,457,2022-09-07
525,Facebook,Share,3040,18,2017-04-23
526,Instagram,Share,3984,7,2015-09-02
527,Facebook,Share,2546,757,2021-09-20
528,Twitter,Share,825,165,2017-05-02
529,Instagram,Like,933,169,2020-08-06
530,Instagram,Comment,3189,215,2017-03-14
531,Twitter,Comment,1129,753,2022-02-17
532,Facebook,Share,3254,981,2024-03-11
533,Twitter,Like,493,76,2022-11-01
534,Twitter,Like,3403,749,2019-10-13
535,Instagram,Comment,2949,352,2022-09-15
536,Instagram,Comment,1847,683,2015-06-12
537,LinkedIn,Share,630,413,2022-05-18
538,Facebook,Like,2766,472,2018-04-29
539,Facebook,Comment,400,463,2019-06-14
540,Twitter,Like,143,838,2019-09-16
541,Twitter,Share,2583,36,2020-02-04
542,LinkedIn,Like,378,433,2024-05-04
543,LinkedIn,Like,4260,585,2020-12-10
544,Facebook,Like,3586,232,2024-04-30
545,LinkedIn,Comment,4183,235,2017-03-01
546,Instagram,Comment,3709,826,2023-12-17
547,Facebook,Comment,4087,2,2020-08-04
548,Twitter,Share,3763,774,2022-11-27
549,Twitter,Comment,3647,995,2020-10-04
550,Instagram,Like,4380,384,2021-08-09
551,Instagram,Share,4710,785,2017-04-20
552,LinkedIn,Comment,3515,125,2024-08-16
553,LinkedIn,Like,3518,591,2024-10-02
554,Facebook,Comment,546,206,2017-12-02
555,Instagram,Like,4409,688,2024-05-01
556,Twitter,Like,4205,909,2015-06-21
557,Twitter,Share,942,745,2025-02-01
558,Facebook,Share,4769,611,2019-07-09
559,Instagram,Share,614,30,2016-07-13
560,LinkedIn,Comment,603,164,2023-05-28
561,LinkedIn,Share,789,548,2016-08-26
562,LinkedIn,Comment,3942,413,2020-10-19
563,Facebook,Like,774,685,2023-12-31
564,LinkedIn,Like,3384,91,2020-05-03
565,Twitter,Comment,4444,495,2024-08-03
566,Facebook,Comment,1701,262,2020-05-19
567,Twitter,Share,284,986,2021-07-08
568,LinkedIn,Like,922,456,2018-02-23
569,Twitter,Comment,2735,6,2016-07-24
570,Twitter,Share,4326,828,2020-08-24
571,LinkedIn,Like,4782,634,2022-06-08
572,Instagram,Like,2101,167,2017-07-28
573,Facebook,Like,4124,639,2024-07-20
574,LinkedIn,Comment,4703,343,2017-03-29
575,Twitter,Share,3179,168,2024-09-01
576,Twitter,Like,1093,129,2024-09-06
577,LinkedIn,Comment,94,758,2021-02-19
578,LinkedIn,Comment,4514,412,2023-02-05
579,Instagram,Like,4567,914,2022-10-23
580,Facebook,Like,4186,459,2016-04-25
581,Twitter,Like,2461,349,2019-11-24
582,Twitter,Share,2958,787,2022-11-13
583,Twitter,Share,3303,561,2019-03-28
584,Instagram,Comment,706,885,2018-08-14
585,LinkedIn,Comment,394,48,2021-01-14
586,Twitter,Share,1468,930,2017-02-18
587,Facebook,Share,803,30,2019-11-09
588,Twitter,Like,1154,206,2017-03-01
589,Twitter,Like,1661,522,2020-05-16
590,Facebook,Share,1948,328,2017-08-20
591,LinkedIn,Share,2750,119,2020-04-30
592,LinkedIn,Share,1860,657,2016-10-03
593,LinkedIn,Comment,3011,811,2023-04-16
594,LinkedIn,Like,2705,318,2017-12-19
595,LinkedIn,Share,1243,49,2023-06-17
596,Twitter,Comment,2462,740,2019-02-02
597,Instagram,Share,310,43,2015-03-09
598,Instagram,Comment,4540,584,2018-03-14
599,Facebook,Like,3875,102,2015-09-21
600,LinkedIn,Share,1721,433,2019-05-30
601,Facebook,Comment,1449,355,2019-03-16
602,LinkedIn,Share,2829,889,2016-12-12
603,Instagram,Comment,1864,126,2023-10-03
604,LinkedIn,Share,282,994,2017-10-03
605,Facebook,Share,4518,476,2021-07-01
606,Twitter,Like,4495,134,2018-10-30
607,LinkedIn,Share,2029,847,2024-06-10
608,Instagram,Share,4786,994,2015-07-15
609,Instagram,Share,2720,547,2021-04-21
610,LinkedIn,Share,122,426,2021-05-27
611,Facebook,Like,1010,542,2024-02-28
612,Instagram,Comment,1049,694,2020-09-01
